,GoodForKids,HasTV,monday,jukebox,Music,HappyHour,wednesday,RestaurantsTableService,RestaurantsCounterService,vegetarian,GoodForMeal,ByAppointmentOnly,sunday,RestaurantsPriceRange2,casual,latenight,RestaurantsReservations,BusinessAcceptsCreditCards,friday,video,DogsAllowed,Ambience,gluten-free,Alcohol,soy-free,hipster,dinner,tuesday,CoatCheck,lot,lunch,vegan,trendy,upscale,BYOBCorkage,dairy-free,classy,GoodForDancing,RestaurantsDelivery,AgesAllowed,Open24Hours,thursday,dj,background_music,karaoke,BYOB,no_music,BusinessAcceptsBitcoin,romantic,BusinessParking,WheelchairAccessible,Caters,live,BestNights,dessert,street,OutdoorSeating,Corkage,garage,breakfast,AcceptsInsurance,NoiseLevel,valet,Smoking,RestaurantsGoodForGroups,WiFi,intimate,RestaurantsAttire,DriveThru,brunch,divey,touristy,kosher,validated,RestaurantsTakeOut,saturday,halal,BikeParking,business_id,stars
37,True,True,,False,,True,,True,,,,,,2,False,False,False,True,,False,,,,'full_bar',,False,True,,False,True,True,,False,False,'yes_free',,False,False,False,,,,False,False,False,False,False,,False,,True,False,False,,False,False,False,False,False,False,,u'very_loud',False,,True,u'no',False,u'casual',,False,False,False,,False,True,,,False,44814,2.7058823529
38,True,True,False,,,True,False,True,,,,,True,2,False,False,True,True,True,,,,,u'full_bar',,False,True,False,False,True,False,,True,False,,,False,False,False,,,False,False,,,,,,False,,True,True,,,False,False,True,,False,False,,u'average',False,u'no',True,'no',False,'casual',,False,False,False,,False,True,True,,True,79167,3.9387755102
39,True,True,,,,,,,,,,,,1,False,,False,True,,,,,,u'none',,False,,,,False,,,False,False,,,False,,,,,,,,,,,,False,,,,,,,False,False,,False,,,u'average',False,,False,,False,u'casual',,,False,False,,False,True,,,,34212,3.8571428571
40,True,True,,,,,,,,,,,,2,True,False,False,True,,,,,,u'full_bar',,False,True,,,True,True,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,False,False,True,,False,False,,u'average',False,,True,'no',False,u'casual',,False,False,False,,False,True,,,True,24872,3.0727272727
41,False,True,False,False,,True,False,True,,,,,False,2,True,False,True,True,True,False,True,,,u'full_bar',,False,False,False,False,True,True,,False,False,,,False,True,True,,,False,False,False,False,,False,False,False,,True,True,True,,True,False,True,,False,False,,u'average',False,u'outdoor',True,'free',False,'casual',,False,False,False,,False,True,False,,True,63384,3.1428571429
42,True,,,,,,,,,,,,,1,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'casual',,,,,,,True,,,,95396,2.25
43,True,False,,,,,,False,,,,,,1,False,False,False,True,,,,,,u'none',,False,False,,,False,True,,False,False,,,False,,False,,,,,,,,,,False,,,True,,,False,False,True,,False,False,,u'average',False,,True,'no',False,'casual',,False,False,False,,False,True,,,True,23517,3.972972973
44,True,True,,,,,,,,,,,,2,True,False,False,True,,,,,,u'beer_and_wine',,False,True,,,True,True,,False,False,'no',,False,,False,,,,,,,,,,False,,,False,,,False,False,False,True,False,False,,u'average',False,,True,u'no',False,'casual',,False,False,False,,False,True,,,False,47833,3.9753424658
45,True,True,,,,,,True,,,,,,2,True,False,True,True,,,,,,u'beer_and_wine',,False,True,,,False,True,,False,False,'yes_free',,False,,False,,,,,,,,,,False,,,True,,,False,False,False,False,False,False,,u'average',False,,True,u'no',False,'casual',,False,False,False,,False,True,,,True,17760,3.9808102345
46,True,True,,,,,,True,,,,,,3,True,False,False,,,,,,,,,False,False,,,True,True,,False,False,,,False,,,,,,,,,,,,False,,,,,,False,False,False,,False,False,,u'average',False,,False,u'free',False,u'casual',,False,,False,,False,True,,,False,18531,3.8888888889
47,True,True,,,,,,True,,,,,,2,True,False,False,True,,,,,,'full_bar',,False,False,,,False,True,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,False,False,False,,False,False,,u'average',False,,True,'free',False,u'casual',,False,False,False,,False,True,,,True,41536,3.3529411765
48,True,True,,,,,,,,,,,,1,False,False,False,True,,,,,,,,False,False,,,False,False,,False,False,,,False,,False,,,,,,,,,,False,,,,,,False,False,False,,False,False,,'average',False,,True,'no',False,u'casual',,True,False,False,,False,True,,,,135502,3.9583333333
49,True,False,,,,,,,,,,,,1,True,False,False,True,,,,,,u'beer_and_wine',,False,True,,,False,True,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,False,False,True,,True,False,,u'loud',False,,True,u'no',False,'casual',,False,False,False,,False,True,,,False,82006,3.2608695652
50,True,False,,,,,,,,,,,,1,,,False,True,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,'casual',,,,,,,True,,,,63752,2.75
51,True,,,,,,,,,,,,,1,,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,False,,,,,,,,False,,,'casual',,,,,,,True,,,,34777,1.875
52,True,False,,,,,,,,,,,,1,True,True,False,True,,,,,,u'none',,False,True,,,True,False,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,True,False,False,,False,False,,'average',False,,True,u'free',False,u'casual',,False,False,False,,False,True,,,True,37063,2.3148148148
53,True,True,,,,,,False,,,,,,1,False,False,False,True,,,False,,,u'none',,False,False,,,True,False,,False,False,,,False,,False,,,,,,,,,,False,,True,True,,,False,False,True,,False,False,,u'average',False,,True,u'free',False,u'casual',False,False,False,False,,False,True,,,True,153313,3.75
54,True,True,,,,,,,,,,,,1,True,False,False,True,,,,,,u'beer_and_wine',,False,True,,,True,True,,False,False,,,False,,False,,,,,,,,,,False,,,True,,,False,False,False,,False,False,,'average',False,,True,u'no',False,u'casual',,False,False,False,,False,True,,,True,158881,4.2243902439
55,True,False,,,,,,,,,,,,1,True,False,False,True,,,,,,u'none',,False,False,,,True,False,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,False,False,False,,False,True,,u'average',False,,True,'no',False,u'casual',,True,False,False,,False,True,,,False,86248,3.5454545455
56,True,False,,,,,,False,,,,,,1,,,False,True,,,,,,u'none',,,,,,,,,,,,,,,False,,,,,,,,,,,,,True,,,,,False,,,,,u'quiet',,,False,u'no',,'casual',False,,,,,,True,,,False,184537,2.1538461538
57,True,False,,,,,,,,,,,,2,False,,True,,,,,,,u'full_bar',,True,,,,False,,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,,True,False,,False,,,u'average',False,,True,u'no',False,'casual',,,False,False,,False,True,,,True,133490,3.6129032258000002
58,True,False,,,,,,False,,,,,,1,True,False,False,True,,,,,,u'none',,False,True,,,True,True,,False,False,,,False,,False,,,,,,,,,,False,,True,True,,,False,False,False,,False,False,,'average',False,,False,'no',False,u'casual',,False,False,False,,False,True,,,True,184443,4.3073593074
59,True,False,,,,,,,,,,,,2,True,,False,True,,,False,,,u'beer_and_wine',,False,,,,True,,,False,False,,,False,,False,,,,,,,,,,False,,,True,,,,False,False,,False,,,u'average',False,,False,u'no',False,u'casual',,,False,False,,False,True,,,True,111748,4.3898305085
60,False,True,False,False,,True,False,True,,,,,False,2,True,False,True,True,True,False,,,,u'beer_and_wine',,False,True,False,False,True,False,,False,False,,,False,False,False,,,True,False,True,False,,,,False,,,True,False,,False,False,True,,False,False,,u'average',False,u'no',True,u'no',False,u'casual',,False,False,False,,False,True,True,,True,66452,4.1946902655
61,True,True,,,,,,True,,,,,,2,True,False,True,,,,,,,,,False,True,,,False,True,,False,False,,,False,,False,,,,,,,,,,False,,,,,,False,True,False,,False,False,,u'average',False,,True,u'no',False,'casual',,False,,False,,False,True,,,True,133846,3.7837837838
62,,,,,,,,,,,,,,1,,,,,,,,,,'none',,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,,,False,,,,,,,,,,,False,True,,,,123943,2.0
63,True,True,,,,,,,,,,,,2,,,,True,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,False,,,,,u'loud',,,True,,,'casual',,,,,,,True,,,,181113,3.0
64,True,False,,,,,,False,,,,,,2,False,False,False,,,,,,,u'beer_and_wine',,False,True,,,False,True,,False,False,,,False,,False,,,,,,,,,,False,,True,False,,,False,True,False,,False,False,,u'average',False,,False,u'no',False,'casual',,False,,False,,False,True,,,True,33495,3.0923076923
65,True,,,,,,,,,,,,,1,,,,True,,,,,,u'none',,,,,,False,,,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,False,,,,False,,True,,,u'casual',,,,,,False,True,,,,54320,3.5
66,True,True,,,,,,True,,,,,,2,True,True,True,True,,,,,,'beer_and_wine',,False,True,,,False,True,,False,False,,,False,,True,,,,,,,,,,False,,False,,,,False,False,False,,False,False,,u'average',False,,True,u'free',True,'casual',,True,False,False,,False,True,,,False,92600,4.4558823529
67,True,True,,,,,,,,,,,,2,False,False,False,True,,,,,,,,False,False,,,False,False,,False,False,,,False,,False,,,,,,,,,,False,,,,,,False,False,True,,False,False,,,False,,True,'free',False,'casual',,False,False,False,,False,True,,,True,23950,4.24
68,True,False,,,,,,,,,,,,1,True,True,False,True,,,,,,u'none',,False,True,,,True,True,,False,False,'no',,False,,False,,,,,,,,,,False,,,True,,,False,False,False,,False,True,,u'average',False,,True,u'no',False,'casual',,False,False,False,,False,True,,,True,42748,2.890625
69,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,True,,,,161686,2.4
70,True,False,,,,,,,,,,,,1,True,,False,True,,,,,,'none',,False,,,,True,,,False,False,,,False,,True,,,,,,,,,,False,,,True,,,,False,True,,False,,,u'average',False,,True,u'no',False,'casual',False,,False,False,,False,True,,,True,17787,4.0485436893
71,True,True,,,,,,True,,,,,,2,True,False,True,,,,,,,u'none',,False,True,,,False,True,,False,False,,,False,,False,,,,,,,,,,False,,False,True,,,False,True,True,,False,True,,u'average',False,,False,u'free',False,'casual',,True,False,False,,False,True,,,True,27907,4.0784313725
72,True,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,51804,3.6666666667000003
73,True,False,,,,,,,,,,,,2,True,False,True,True,,,,,,u'full_bar',,False,True,,,True,True,,False,False,,,False,,False,,,,,,,,,,False,,,,,,False,False,False,,False,False,,u'average',False,,True,u'no',False,u'casual',,False,False,False,,False,True,,,True,18731,3.2058823529
74,False,,,,,,,,,,,,,1,False,,False,True,,,,,,,,False,,,,,,,False,False,,,False,,False,,,,,,,,,,False,,,,,,,,True,,,,,,,,False,'no',False,'casual',,,False,False,,,True,,,,170924,3.8
75,True,True,,,,,,True,,,,,,2,True,False,False,True,,,,,,'full_bar',,False,True,,,True,True,,False,False,,,False,,False,,,,,,,,,,False,,True,False,,,False,False,True,,False,False,,u'average',False,,True,u'no',False,u'casual',,False,False,False,,False,True,,,True,32114,4.2
76,True,False,,,,,,,,,,,,2,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,False,,,,,,,,True,,,u'casual',,,,,,,True,,,,147516,3.2857142857
77,True,False,,,,,,,,,,,,1,True,,False,True,,,,,,u'none',,False,,,,False,,,False,False,,,False,,,,,,,,,,,,False,,,,,,,True,False,,False,,,u'quiet',False,,True,,False,u'casual',,,False,False,,False,True,,,,34286,3.5333333333
78,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,u'quiet',,,True,u'no',,u'casual',,,,,,,,,,True,82097,2.75
79,False,True,,,,True,,,,,,,,2,False,False,True,True,,,,,,,,False,False,,,False,False,,False,False,,,False,False,False,,,,,,,,,,False,,,,,,False,False,True,,False,False,,,False,,True,u'free',False,,,False,False,False,,False,True,,,,60252,3.75
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123831,4.5
81,True,False,,,,,,False,,,,,,1,False,False,False,,,,,,,u'beer_and_wine',,False,False,,,False,False,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,False,False,False,,False,False,,u'quiet',False,,True,'free',False,'casual',False,False,,False,,False,True,,,True,135832,3.3888888889
82,True,True,,,,,,True,,,,,,1,True,False,False,True,,,,,,u'none',,False,True,,,True,True,,False,False,,,False,,True,,,,,,,,,,False,,True,False,,,False,False,False,,False,False,,u'quiet',False,,True,u'no',False,u'casual',,False,False,False,,False,True,,,True,72504,3.8455882353
83,True,,,,,,,,,,,,,2,False,,True,,,,,,,,,False,,,,False,,,False,False,,,False,,False,,,,,,,,,,False,,,,,,,False,False,,False,,,,False,,True,,False,,,,,False,,False,True,,,,7162,3.6
84,True,False,,,,,,,,,,,,2,False,,False,,,,,,,'none',,False,,,,False,,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,,False,False,,False,,,'average',False,,,'no',False,'casual',,,False,False,,False,True,,,False,173463,1.25
85,True,True,,,,,,,,,,,,2,True,False,False,True,,,,,,u'none',,False,True,,,True,True,,False,False,'no',,False,,False,,,,,,,,,,False,,,True,,,False,False,False,,False,False,,u'average',False,,True,u'no',False,'casual',,False,False,False,,False,True,,,True,121816,3.7199999999999998
86,True,False,,,,,,,,,,,,2,True,False,False,,,,,,,u'none',,False,False,,,False,True,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,False,True,False,,False,False,,u'average',False,,True,u'no',False,u'casual',,False,False,False,,False,True,,,True,83793,4.1428571429
87,True,True,,,,,,,,,,,,1,True,False,False,,,,,,,'beer_and_wine',,False,False,,,False,True,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,False,True,False,,False,False,,u'average',False,,True,u'no',False,u'casual',,False,False,False,,False,True,,,True,86768,3.9450549451
88,True,True,,,,,,False,,,,,,2,True,False,False,True,,,False,,,u'none',,False,False,,,True,True,,True,False,,,False,,False,,,,,,,,,False,False,,True,True,,,False,False,True,,False,False,,'quiet',False,,True,u'free',False,'casual',,False,False,False,,False,True,,,False,170505,4.4137931034
89,True,False,,,,,,False,,,,,,1,True,False,False,True,,,,,,u'none',,False,True,,,True,True,,False,False,'yes_free',,False,,False,,,,,,,,,,False,,,True,,,False,False,True,False,False,False,,u'average',False,,True,u'no',False,'casual',,False,False,False,,False,True,,,True,36425,4.0461893764
90,True,False,,,,,,,,,,,,2,True,False,True,,,,,,,u'full_bar',,False,True,,,True,True,,False,False,,,False,,True,,,,,,,,,,False,,,True,,,False,False,False,,False,False,,u'average',False,,True,u'no',False,u'casual',,False,False,False,,False,True,,,False,128522,3.5161290323000003
91,False,True,,,,,,,,,,,,3,False,False,True,True,,,,,,'full_bar',,False,True,,,False,False,,True,False,,,False,,False,,,,,,,,,,False,,,False,,,False,True,True,,False,False,,u'average',False,,True,u'no',False,'casual',,False,False,False,,False,True,,,True,127140,3.9289099526
92,,,,,,,,,,,,,,,,False,,,,,,,,,,,False,,,False,False,,,,,,,,False,,,,,,,,,,,,,,,,False,False,,,False,False,,,False,,,,,,,False,,,,False,,,,,88325,3.7692307692
93,,,,,,,,,,,,,,2,,,,True,,,,,,u'beer_and_wine',,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,,,False,,False,,,u'casual',,,,,,False,True,,,,129478,2.5
94,True,False,,,,,,False,,,,,,1,False,False,False,True,,,,,,u'none',,False,False,,,False,False,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,False,False,False,,False,False,,u'quiet',False,,True,u'no',False,u'casual',True,False,False,False,,False,True,,,False,125801,2.1666666667
95,True,True,,,,,,,,,,,,2,True,,True,,,,,,,'beer_and_wine',,False,,,,False,,,False,False,,,False,,True,,,,,,,,,,False,,,False,,,,True,False,,False,,,u'quiet',False,,True,u'free',False,u'casual',,,False,False,,False,True,,,True,76839,3.7142857143
96,True,True,,,,,,True,,,,,,2,True,False,True,,,,,,,u'beer_and_wine',,False,False,,,False,True,,False,False,,,False,,False,,,,,,,,,,False,,True,True,,,False,True,True,,False,False,,u'average',False,,True,u'free',False,'casual',,False,False,False,,False,True,,,True,155296,2.2592592593
97,True,True,,,,,,,,,,,,1,False,False,False,True,,,,,,,,False,False,,,,False,,False,False,,,False,,False,,,,,,,,,,False,,,,,,False,,True,,,False,,'average',,,False,'no',False,'casual',,False,False,False,,,True,,,True,174115,3.12
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59827,4.0
99,True,True,,,,,,,,,,,,1,True,False,False,True,,,,,,u'none',,False,True,,,True,False,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,False,False,False,,False,False,,u'average',False,,True,'free',False,u'casual',,False,False,False,,False,True,,,True,87342,2.1034482759
100,True,True,,,,,,,,,,,,2,True,,False,True,,,,,,u'full_bar',,False,,,,True,,,False,False,,,False,,False,,,,,,,,,,False,,,,,,,False,False,,False,,,u'quiet',False,,True,,False,u'casual',,,False,False,,False,True,,,,27945,3.55
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177515,5.0
102,True,True,,,,,,,,,,,,1,True,,False,True,,,,,,u'full_bar',,False,,,,True,,,False,False,,,False,,True,,,,,,,,,,False,,,True,,,,False,True,,False,,,u'average',False,,True,u'free',False,u'casual',,,False,False,,False,True,,,True,30500,3.8082191781
103,True,False,,,,,,,,,,,,1,True,False,False,True,,,,,,'none',,False,False,,,False,False,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,False,False,False,,False,True,,'quiet',False,,True,'no',False,'casual',,False,False,False,,False,True,,,True,76313,2.55
