,GoodForKids,HasTV,perms,monday,jukebox,extensions,Music,HappyHour,wednesday,kids,RestaurantsTableService,RestaurantsCounterService,vegetarian,GoodForMeal,ByAppointmentOnly,sunday,RestaurantsPriceRange2,casual,latenight,RestaurantsReservations,BusinessAcceptsCreditCards,friday,video,DogsAllowed,Ambience,gluten-free,Alcohol,soy-free,hipster,dinner,tuesday,CoatCheck,lot,lunch,vegan,trendy,upscale,BYOBCorkage,dairy-free,classy,GoodForDancing,curly,RestaurantsDelivery,AgesAllowed,Open24Hours,thursday,dj,background_music,karaoke,BYOB,no_music,BusinessAcceptsBitcoin,romantic,BusinessParking,WheelchairAccessible,Caters,live,BestNights,coloring,dessert,street,OutdoorSeating,Corkage,garage,breakfast,AcceptsInsurance,NoiseLevel,valet,Smoking,RestaurantsGoodForGroups,WiFi,intimate,RestaurantsAttire,DriveThru,brunch,divey,touristy,kosher,validated,RestaurantsTakeOut,saturday,halal,BikeParking,business_id,stars
20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,138910,2.625
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19738,3.0
22,True,True,,,,,,,,,,,,,,,2,True,,True,True,,,,,,u'full_bar',,False,,,,True,,,False,False,,,False,,,False,,,,,,,,,,False,,,True,,,,,False,True,,False,,,u'average',False,,True,u'free',False,u'casual',,,False,False,,False,True,,,,44219,2.9545454545
23,True,False,,,,,,,,,,,,,,,3,False,,True,,,,,,,u'full_bar',,False,,,,True,,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,,True,True,,False,,,u'very_loud',False,,True,u'free',False,u'casual',,,,False,,False,True,,,True,7904,3.3666666667
24,True,False,,,,,,,,,,,,,,,1,False,False,False,True,,,,,,u'none',,False,False,,,True,False,,False,False,,,False,,,False,,,,,,,,,,False,,,,,,,False,False,False,,False,False,,u'average',False,,True,'free',False,'casual',True,False,False,False,,False,True,,,True,96427,1.8
25,True,True,,,,,,,,,,,,,,,1,,False,False,True,,,,,,u'none',,,False,,,,False,,,,,,,,,True,,,,,,,,,,,,,,,,,False,,,,,True,,u'average',,,False,,,u'casual',,False,,,,,True,,,True,70480,3.8181818182000002
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111379,2.0
27,True,True,,,,,,False,,,True,,,,,,2,False,False,False,True,,,False,,,u'full_bar',,False,False,,,True,False,,False,False,,,True,,,False,,,,,,,,,False,False,,True,False,,,,False,False,True,,False,False,,u'quiet',False,,True,u'no',False,'casual',,False,False,False,,False,True,,,False,88804,4.0714285714
28,True,False,,,,,,,,,,,,,,,3,False,,True,True,,,,,,u'full_bar',,False,,,,False,,,False,False,,,False,,,False,,,,,,,,,,False,,,,,,,,False,True,,False,,,u'quiet',False,,True,,False,u'dressy',,,False,False,,False,True,,,False,166729,3.2857142857
29,True,True,,,False,,,True,,,True,,,,,,2,False,False,False,True,,False,,,,'full_bar',,False,True,,False,True,True,,False,False,'yes_free',,False,False,,False,,,,False,False,False,False,False,,False,,True,False,False,,,False,False,False,False,False,False,,u'very_loud',False,,True,u'no',False,u'casual',,False,False,False,,False,True,,,False,44814,2.7058823529
30,True,True,,False,,,,True,False,,True,,,,,True,2,False,False,True,True,True,,,,,u'full_bar',,False,True,False,False,True,False,,True,False,,,False,False,,False,,,False,False,,,,,,False,,True,True,,,,False,False,True,,False,False,,u'average',False,u'no',True,'no',False,'casual',,False,False,False,,False,True,True,,True,79167,3.9387755102
31,True,False,,,,,,,,,,,,,,,2,True,False,False,,,,,,,'none',,False,False,,,False,False,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,False,False,False,,False,True,,u'very_loud',False,,True,'free',False,'casual',,False,False,False,,False,True,,,True,142416,2.7777777778
32,False,True,,False,False,,,True,False,,True,,,,,False,2,True,False,True,True,True,False,True,,,u'full_bar',,False,False,False,False,True,True,,False,False,,,False,True,,True,,,False,False,False,False,,False,False,False,,True,True,True,,,True,False,True,,False,False,,u'average',False,u'outdoor',True,'free',False,'casual',,False,False,False,,False,True,False,,True,63384,3.1428571429
33,True,True,,,,,,,,,,,,,,,2,True,False,False,True,,,,,,u'beer_and_wine',,False,True,,,True,True,,False,False,'no',,False,,,False,,,,,,,,,,False,,,False,,,,False,False,False,True,False,False,,u'average',False,,True,u'no',False,'casual',,False,False,False,,False,True,,,False,47833,3.9753424658
34,True,True,,False,False,,,True,False,,,,,,,False,2,True,True,True,True,False,False,,,,u'full_bar',,False,True,False,False,True,True,,False,False,,,False,,,False,,,False,False,False,False,,False,,False,,,True,False,,,False,False,True,,False,False,,u'loud',False,,True,u'free',False,u'casual',,False,False,False,,False,True,True,,False,76609,2.9699999999999998
35,True,False,,False,False,,,True,True,,,,,,,False,2,True,False,True,True,False,False,,,,u'full_bar',,False,False,True,True,True,True,,False,False,,,False,False,,False,,,True,False,False,False,,False,,False,,,True,False,,,False,False,True,,False,True,,'average',False,,True,'free',False,u'casual',,True,False,False,,False,True,False,,True,164561,2.9748743719
36,False,True,,,,,,,,,,,,,,,2,True,,False,True,,,,,,u'full_bar',,False,,,,True,,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,,False,True,,False,,,u'average',False,,True,u'no',False,u'casual',,,False,False,,False,True,,,True,23246,2.46875
37,True,False,,,,,,,,,,,,,,,1,True,,False,True,,,,,,u'none',,False,,,,True,,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,,False,False,,False,,,u'average',False,,True,'no',False,u'casual',,,False,False,,False,True,,,True,186368,2.9142857143
38,True,,,,,,,,,,,,,,,,1,False,,False,True,,,,,,u'none',,False,,,,True,,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,,False,True,,False,,,u'quiet',False,,True,u'no',False,,,,False,False,,False,True,,,True,192265,2.6538461538
39,True,False,,,,,,,,,,,,,,,1,True,True,False,True,,,,,,u'none',,False,True,,,True,False,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,True,False,False,,False,False,,'average',False,,True,u'free',False,u'casual',,False,False,False,,False,True,,,True,37063,2.3148148148
40,,True,,,,,,,,,,,,,,,1,False,,,True,,,,,,u'full_bar',,False,,,,False,,,False,False,,,False,,,,,,,,,,,,,False,,,,,,,,True,False,,False,,,u'very_loud',False,,True,,False,,,,False,False,,False,,,,,73653,4.2857142857
41,False,True,,,,,,True,,,,,,,,,2,True,False,True,True,,,,,,'full_bar',,False,False,,False,False,True,,True,False,,,True,True,,False,,,,,,,,,,False,,True,,,,,True,False,True,,False,False,,u'average',False,u'outdoor',True,u'free',False,'casual',,True,False,False,,False,True,,,True,2715,4.2621359223
42,True,False,,,,,,,,,,,,,,,1,True,False,False,True,,,,,,u'none',,False,False,,,True,False,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,False,False,False,,False,True,,u'average',False,,True,'no',False,u'casual',,True,False,False,,False,True,,,False,86248,3.5454545455
43,True,True,,,,,,,,,True,,,,,,2,True,False,False,,,,,,,u'full_bar',,False,False,,,True,True,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,False,True,True,,True,True,,u'average',False,,True,u'free',False,u'casual',,True,,False,,False,False,,,False,72222,3.9913793103
44,True,,,,,,,,,,,,,,,,2,False,,False,,,,,,,,,False,,,,,,,False,False,,,False,,,True,,,,,,,,,,False,,,,,,,,,,,,,,,,,True,'free',False,'casual',,,,False,,,True,,,,48959,3.625
45,True,True,,,,,,,,,,,,,,,1,False,False,False,True,,,,,,u'full_bar',,False,False,,,True,True,,False,False,,,False,,,False,,,,,,,,,,False,,,,,,,False,False,False,,False,True,,u'average',False,,True,'no',False,u'casual',,True,False,False,,False,True,,,True,27289,3.7222222222
46,True,True,,,,,,,,,,,,,,,2,True,,True,,,,,,,u'full_bar',,False,,,,False,,,False,False,,,False,,,False,,,,,,,,,,False,,,,,,,,True,False,,False,,,u'average',False,,True,u'free',False,u'casual',,,False,False,,False,True,,,,45536,2.84375
47,False,,,,,,,,,,,,,,,,2,,,True,True,,,,,,'beer_and_wine',,,,,,True,,,,,,,,,,False,,,,,,,,,,,,,,,,,,False,True,,False,,,,False,,True,,,u'casual',,,,,,False,True,,,,80781,4.0273972603
48,True,False,,,,,,,,,,,,,,,2,False,,True,,,,,,,u'full_bar',,True,,,,False,,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,,True,False,,False,,,u'average',False,,True,u'no',False,'casual',,,False,False,,False,True,,,True,133490,3.6129032258000002
49,True,True,,,,,,True,,,True,,,,,,2,True,False,True,True,,,False,,,u'full_bar',,False,True,,False,True,True,,True,True,,,False,,,True,,,,,,,,,False,True,,True,True,,,,True,False,True,,False,False,,u'average',False,u'no',True,u'free',False,'casual',,False,False,False,,False,True,,,True,171449,4.1621621622
50,False,False,,,,,,True,,,,,,,,,2,True,False,False,True,,,,,,u'full_bar',,True,False,,,False,False,,False,False,,,False,,,False,,,,,,,,,,False,,,,,,,False,True,True,,False,False,,u'loud',False,,True,'no',False,'casual',,False,False,False,,False,True,,,True,6007,3.6
51,False,True,,False,False,,,True,False,,True,,,,,False,2,True,False,True,True,True,False,,,,u'beer_and_wine',,False,True,False,False,True,False,,False,False,,,False,False,,False,,,True,False,True,False,,,,False,,,True,False,,,False,False,True,,False,False,,u'average',False,u'no',True,u'no',False,u'casual',,False,False,False,,False,True,True,,True,66452,4.1946902655
52,True,True,,,,,,,,,,,,,,,2,True,False,True,True,,,,,,'full_bar',,False,True,,,True,True,,False,False,,,False,,,False,,,,,,,,,,False,,,True,,,,False,False,False,,False,False,,'average',False,,True,u'free',False,'casual',,False,False,False,,False,True,,,True,118410,2.6489795918
53,,True,,,,,,,,,,,,,,,2,True,,False,True,,,,,,u'full_bar',,False,,,,False,,,False,False,,,False,,,,,,,,,,,,,False,,,,,,,,True,True,,False,,,u'average',False,,True,u'no',False,,,,False,False,,False,,,,True,158496,3.0555555556
54,False,True,,,,,,,,,,,,,,,2,False,False,False,True,,,,,,u'full_bar',,False,False,,,True,False,,False,False,,,False,,,False,,,,,,,,,,False,,,True,,,,True,False,True,,False,False,,u'average',False,,True,u'free',True,u'casual',,False,False,False,,False,True,,,False,90628,3.8974358974000003
55,True,True,,,,,,,,,,,,,,,2,,,,True,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,u'loud',,,True,,,'casual',,,,,,,True,,,,181113,3.0
56,False,True,,,,,,,,,,,,,,,2,False,,True,,,,,,,u'full_bar',,False,,,,False,,,False,False,,,False,,,False,,,,,,,,,,False,,,,,,,,True,True,,False,,,'average',False,,True,u'free',False,u'casual',,,False,False,,False,True,,,True,125930,3.2941176471
57,True,True,,,,,,,,,True,,,,,,1,True,True,False,True,,,,,,'none',,False,False,,,True,False,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,False,False,False,,False,True,,u'average',False,,True,u'free',False,'casual',,False,False,False,,False,True,,,True,50948,2.3870967741999998
58,False,True,,,True,,,True,,,,,,,,,1,False,False,False,True,,False,,,,u'full_bar',,False,False,,,False,False,,False,False,,,False,False,,False,,,,False,False,False,,False,,False,,,False,False,,,False,False,True,,False,False,,u'very_loud',False,,True,'free',False,'casual',,False,False,False,,False,True,,,False,134444,3.8461538462
59,True,True,,,,,,,,,True,,,,,,2,True,False,True,True,,,,,,u'full_bar',,False,False,,,True,True,,False,False,'yes_free',,False,,,False,,,,,,,,,False,False,,,True,,,,False,False,True,False,False,True,,u'average',False,,True,u'free',False,'casual',,True,False,False,,False,True,,,True,177308,3.940625
60,True,False,,,,,,,,,,,,,,,1,True,,False,True,,,,,,'none',,False,,,,True,,,False,False,,,False,,,True,,,,,,,,,,False,,,True,,,,,False,True,,False,,,u'average',False,,True,u'no',False,'casual',False,,False,False,,False,True,,,True,17787,4.0485436893
61,True,True,,False,False,,,,False,,,,,,,True,2,True,False,False,True,True,False,,,,u'full_bar',,False,True,False,,False,False,,True,False,,,False,False,,False,,,False,False,False,False,,False,,False,,,False,False,,,False,True,True,,False,False,,u'average',True,,True,u'free',False,u'casual',,False,False,False,,False,True,True,,True,161100,3.8949416342000003
62,True,True,,,,,,,,,,,,,,,2,True,,True,True,,,,,,u'full_bar',,False,,,,False,,,False,False,,,False,,,False,,,,,,,,,,False,,,,,,,,False,True,,True,,,u'average',False,,True,u'no',False,u'casual',,,False,False,,False,True,,,,92755,2.0769230769
63,True,True,,,,,,,,,,,,,,,2,False,False,True,True,,,,,,u'full_bar',,False,False,,,False,False,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,False,False,False,,False,True,,u'loud',False,,True,,False,u'casual',,False,False,False,,False,True,,,False,65980,4.25
64,True,False,,,,,,,,,True,,,,,,1,True,True,False,True,,,,,,u'none',,False,False,,,True,True,,False,False,,,False,,,True,,,,,,,,,,False,,,False,,,,True,False,False,,False,True,,u'average',False,,True,u'free',False,u'casual',,True,False,False,,False,True,,,True,50476,2.3125
65,False,True,,,,,,,,,,,,,,,3,False,False,True,,,,,,,u'full_bar',,False,False,,,True,True,,False,False,,,True,,,False,,,,,,,,,,False,,,,,,,False,False,True,,False,False,,u'quiet',False,,True,u'free',True,u'dressy',,False,,False,,False,False,,,True,51083,4.347826087
66,True,False,,,,,,,,,,,,,,,2,True,False,False,True,,,,,,u'none',,False,False,,,True,True,,False,False,,,False,,,False,,,,,,,,,,False,,,True,,,,False,False,True,,False,True,,u'average',False,,True,u'no',False,u'casual',,True,False,False,,False,True,,,True,56894,3.4142857143
67,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,True,,,,183950,3.2
68,False,True,,,,,,True,,,True,,,,,,2,True,False,False,True,,,,,,,,False,False,,,False,False,,False,False,,,False,False,,False,,,,,,,,,,False,,,,,,,False,False,True,,False,False,,,False,,True,'free',False,'casual',,False,False,False,,False,True,,,False,33029,2.3125
69,False,True,,,,,,,,,,,,,,,1,False,False,False,True,,,,,,u'full_bar',,False,False,,,True,False,,False,False,,,False,,,False,,,,,,,,,,False,,,,,,,False,False,False,,False,False,,u'loud',False,,True,u'free',False,'casual',,False,False,False,,False,True,,,,31873,3.8333333333
70,True,True,,,,,,,,,True,,,,,,2,True,False,False,True,,,,,,'full_bar',,False,True,,,True,True,,False,False,,,False,,,False,,,,,,,,,,False,,True,False,,,,False,False,True,,False,False,,u'average',False,,True,u'no',False,u'casual',,False,False,False,,False,True,,,True,32114,4.2
71,True,True,,,,,,,,,,,,,,,2,False,False,False,True,,,,,,'full_bar',,False,True,,,False,True,,False,False,,,False,,,False,,,,,,,,,,False,,,True,,,,False,True,True,,False,False,,u'average',False,,True,u'free',False,u'casual',False,False,False,False,,False,True,,,True,149006,3.6896551724
72,True,False,,,,,,,,,,,,,,,1,True,False,False,True,,,,,,u'none',,False,False,,,True,True,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,False,False,True,,False,True,,'average',False,,True,'no',False,u'casual',,False,False,False,,False,True,,,True,12197,3.2105263158
73,,False,,False,,,,False,False,,,,,,,False,1,True,,True,,True,,,,,u'full_bar',,False,,False,False,False,,,False,False,,,False,False,,,,,True,False,,,,,,False,,False,,,,,,False,False,,False,,,u'average',False,u'no',True,,False,,,,False,False,,False,,True,,True,75692,4.3846153846
74,True,True,,,,,,True,,,,,,,,,2,True,False,True,,,,,,,u'full_bar',,False,True,,,True,True,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,False,False,True,,False,False,,u'very_loud',False,,True,u'no',False,u'casual',,False,False,False,,False,True,,,True,90207,2.2903225806
75,,,,,,,,,,,,,,,,,2,,,,True,,,,,,'full_bar',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,True,,,,70569,2.4444444444
76,False,True,,,,,,,,,,,,,,,3,False,,True,,,,,,,u'full_bar',,False,,,,False,,,False,False,,,False,,,False,,,,,,,,,,False,,,,,,,,False,True,,False,,,u'average',False,,True,,False,'casual',,,,False,,False,True,,,,48146,3.8
77,False,True,,,,,,True,,,,,,,,,2,False,False,True,True,,,,,,,,False,False,,,False,False,,False,False,,,False,False,,False,,,,,,,,,,False,,,,,,,False,False,True,,False,False,,,False,,True,u'free',False,,,False,False,False,,False,True,,,,60252,3.75
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46699,2.0
79,True,True,,,,,,,,,,,,,,,1,True,False,False,True,,,,,,u'none',,False,False,,,True,False,,False,False,,,False,,,True,,,,,,,,,,False,,,True,,,,False,False,True,,False,True,,u'average',False,,True,u'free',False,u'casual',,True,False,False,,False,True,,,True,9557,3.53125
80,False,True,,,,,,,,,,,,,,,1,False,,False,True,,,,,,u'full_bar',,False,,,,False,,,False,False,,,False,,,False,,,,,,,,,,False,,,True,,,,,True,True,,False,,,u'average',False,,True,u'no',False,u'casual',,,False,False,,False,True,,,True,54153,3.6923076923
81,False,True,,,,,,,,,,,,,,,2,True,False,True,,,,,,,u'full_bar',,False,True,,,False,False,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,False,True,True,,False,False,,u'average',False,,True,,False,u'casual',,False,False,False,,False,True,,,True,181670,3.0681818182
82,True,True,,False,False,,,True,False,,True,,,,,True,2,True,False,False,True,True,False,,,,u'full_bar',,False,True,False,False,True,True,,False,False,,,False,False,,False,,,False,False,False,False,,False,,False,,True,False,False,,,False,False,True,,False,False,,u'average',False,,True,u'free',False,u'casual',,False,False,False,,False,True,True,,True,161678,4.0154241645
83,True,False,,,False,,,True,,,,,,,,,3,False,False,True,,,False,,,,u'full_bar',,False,True,,,False,True,,False,False,,,False,False,,False,,,,False,False,False,,False,,True,,,True,False,,,False,True,True,,False,False,,u'average',False,,True,u'free',False,'casual',,True,False,False,,False,True,,,True,177646,3.9597315436000002
84,False,False,,,,,,,,,True,,,,,,3,False,False,True,,,,,,,u'full_bar',,False,True,,,False,False,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,False,True,False,,False,False,,u'average',False,,True,u'no',False,u'casual',,False,False,False,,False,False,,,True,721,3.4039735099
85,True,True,,,False,,,True,,,,,,,,,2,True,False,False,True,,False,,,,u'full_bar',,False,True,,,False,True,,False,False,,,False,,,False,,,,False,False,False,,False,,False,,,False,True,,,False,True,True,,False,False,,u'average',False,,True,u'no',False,u'casual',,False,False,False,,False,True,,,True,87979,3.8095238095
86,False,,,,,,,,,,,,,,,,,False,,False,,,,,,,,,False,,,,False,,,False,False,,,False,,,False,,,,,,,,,,False,,,,,,,,False,True,,False,,,,False,,,,False,,,,False,False,,False,,,,,68394,4.8
87,False,False,,,False,,,False,,,True,,,,,,3,False,False,False,,,False,,,,u'full_bar',,False,True,,False,False,False,,False,False,,,False,False,,False,,,,False,True,False,,False,,False,,,False,False,,,False,True,True,,False,False,,u'average',False,u'no',False,'no',False,u'casual',,False,,False,,False,False,,,True,182371,4.3119266055
88,True,True,,,,,,,,,,,,,,,2,False,False,True,,,,,,,u'full_bar',,False,False,,,False,False,,False,False,,,False,,,False,,,,,,,,,,False,,,,,,,False,False,False,,False,False,,u'average',False,,True,u'no',False,u'dressy',,False,,False,,False,True,,,True,5843,4.8333333333
89,True,True,,,,,,,,,False,,,,,,2,True,False,False,True,,,False,,,u'none',,False,False,,,True,True,,True,False,,,False,,,False,,,,,,,,,False,False,,True,True,,,,False,False,True,,False,False,,'quiet',False,,True,u'free',False,'casual',,False,False,False,,False,True,,,False,170505,4.4137931034
90,True,True,,,,,,,,,,,,,,,2,False,,True,,,,,,,u'full_bar',,False,,,,False,,,False,False,,,False,,,False,,,,,,,,,,False,,,True,,,,,False,True,,False,,,u'average',False,,True,u'no',False,'casual',,,False,False,,False,True,,,,43952,2.8571428571
91,True,True,,,,,,,,,,,,,,,2,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,,,False,,,'casual',,,,,,,True,,,True,171468,2.9
92,,,,,,,,,,,,,,,,,2,,,,True,,,,,,u'beer_and_wine',,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,,,False,,False,,,u'casual',,,,,,False,True,,,,129478,2.5
93,False,True,,,,,,,,,,,,,,,2,False,,True,,,,,,,u'full_bar',,False,,,,False,,,False,False,,,False,,,,,,,,,,,,,False,,,,,,,,False,True,,False,,,u'average',False,,True,,False,u'casual',,,,False,,False,,,,,10201,3.375
94,True,,,,,,,,,,,,,,,,1,,,False,True,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,True,,,,114072,2.0
95,True,True,,,,,,,,,False,,,,,,2,True,False,False,True,,,False,,,u'beer_and_wine',,False,False,,,True,True,,False,False,,,False,,,False,,,,,,,,,False,False,,True,True,,,,False,False,True,,False,False,,u'average',False,,False,u'free',False,u'casual',,False,False,False,,False,True,,,True,54889,3.0
