,GoodForKids,video,dessert,street,HasTV,OutdoorSeating,monday,GoodForDancing,jukebox,Corkage,DogsAllowed,garage,Music,breakfast,RestaurantsDelivery,AcceptsInsurance,NoiseLevel,HappyHour,valet,Ambience,Smoking,RestaurantsGoodForGroups,gluten-free,AgesAllowed,thursday,Alcohol,WiFi,dj,background_music,wednesday,intimate,karaoke,soy-free,hipster,RestaurantsAttire,BYOB,RestaurantsTableService,dinner,BikeParking,no_music,DriveThru,BusinessAcceptsBitcoin,tuesday,CoatCheck,lot,brunch,live,vegetarian,GoodForMeal,ByAppointmentOnly,romantic,divey,touristy,lunch,RestaurantsPriceRange2,sunday,vegan,casual,kosher,trendy,validated,latenight,BusinessParking,upscale,BYOBCorkage,WheelchairAccessible,RestaurantsTakeOut,RestaurantsReservations,saturday,dairy-free,DietaryRestrictions,BusinessAcceptsCreditCards,halal,friday,Caters,classy,business_id,stars
27,False,,False,False,True,False,,,,,,False,,False,False,,u'quiet',,False,,,True,,,,u'full_bar',u'no',,,,False,,,False,u'dressy',,,True,,,,,,,True,False,,,,,False,False,False,True,3,,,False,,True,False,False,,False,,,True,True,,,,,,,,False,85008,4.1960784314
28,True,,False,True,True,True,,,,,,False,,False,True,,u'average',,False,,,True,,,,u'full_bar',u'free',,,,False,,,False,u'casual',,,True,True,,,,,,False,False,,,,,False,False,False,True,2,,,True,,False,False,False,,False,,,True,True,,,,,,,True,False,44769,2.4468085106
29,True,,False,False,True,True,False,False,,,,False,,False,False,,u'average',True,False,,u'no',True,,,False,u'full_bar','no',False,,False,False,,,False,'casual',,True,True,True,,,,False,False,True,False,,,,,False,False,False,False,2,True,,False,,True,False,False,,False,,True,True,True,True,,,True,,True,True,False,79167,3.9387755102
30,True,,False,False,False,False,,,,,,False,,True,False,,u'very_loud',,False,,,True,,,,'none','free',,,,False,,,False,'casual',,,False,True,,,,,,False,False,,,,,False,False,False,False,2,,,True,,False,False,False,,False,,,True,False,,,,,,,False,False,142416,2.7777777778
31,True,,False,False,False,True,,,,,,False,,False,False,,u'average',,False,,,True,,,,u'none','no',,,,False,,,False,'casual',,False,False,True,,,,,,False,False,,,,,False,False,False,True,1,,,False,,False,False,False,,False,,,True,False,,,,True,,,True,False,23517,3.972972973
32,True,,False,False,True,False,,,,True,,False,,False,False,,u'average',,False,,,True,,,,u'beer_and_wine',u'no',,,,False,,,False,'casual',,,True,False,,,,,,True,False,,,,,False,False,False,True,2,,,True,,False,False,False,,False,'no',,True,False,,,,True,,,False,False,47833,3.9753424658
33,True,,False,False,True,False,,,,,,False,,False,False,,u'average',,False,,,True,,,,u'full_bar',u'free',,,,False,,,False,'casual',,True,True,False,,,,,,False,False,,,,,False,False,False,True,2,,,True,,False,False,False,,False,,,True,True,,,,,,,False,False,73973,3.2823529412
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129696,4.3333333333
35,True,,False,,False,True,,,,,,,,False,True,,u'quiet',,,,,True,,,,,,,,,False,,,False,'casual',,,False,True,,,,,,,False,,,,,False,False,False,False,3,,,False,,False,,False,,False,,,True,True,,,,,,,,False,92924,2.75
36,,,,True,,,,,,,,False,,,,,,,False,,,,,,,,u'no',,,,,,,,,,,,True,,,,,,False,,,,,,,,,,2,,,,,,False,,,,,,True,,,,,True,,,True,,183145,4.3
37,False,,,False,False,False,,,,,,False,,,True,,u'quiet',,False,,,True,,,,,,,,,False,,,False,u'casual',,,,,,,,,,False,,,,,,False,,False,,2,,,False,,False,False,,,False,,,True,False,,,,,,,,False,64317,2.0
38,True,,,True,False,False,,,,,,False,,,False,,u'average',,False,,,True,,,,u'full_bar',u'no',,,,False,,,True,'casual',,,,True,,,,,,False,,,,,,False,False,False,,2,,,False,,False,False,,,False,,,True,True,,,,,,,False,False,133490,3.6129032258000002
39,True,,,False,False,False,,,,,False,False,,,False,,u'average',,False,,,False,,,,u'beer_and_wine',u'no',,,,False,,,False,u'casual',,,,True,,,,,,True,,,,,,False,False,False,,2,,,True,,False,False,,,False,,,True,False,,,,True,,,True,False,111748,4.3898305085
40,True,,False,False,False,False,,,,,,False,,False,False,,u'quiet',,False,,,True,,,,'beer_and_wine',u'no',,,,False,,,False,'casual',,,True,True,,,,,,True,False,,,,,False,False,False,True,2,,,True,,False,False,False,,False,,,False,True,,,,True,,,False,False,353,4.2751937984
41,False,,,False,,False,,,,,,False,,,False,,,,False,,,False,,,,u'full_bar',,,,,,,,,u'formal',,,,,,,,,,False,,,,,,,,,,4,,,,,,False,,,,,,,True,,,,True,,,,,44856,4.7333333333
42,True,,False,True,False,False,,,,,,False,,False,False,,u'average',,False,,,False,,,,u'beer_and_wine',u'no',,,,False,,,False,'casual',,False,True,True,,,,,,False,False,,,,,False,,False,True,2,,,False,,False,False,False,,False,,True,True,False,,,,,,,False,False,33495,3.0923076923
43,True,,False,False,True,True,,,,,,False,,False,False,,u'average',,False,,,True,,,,'full_bar',u'no',,,,False,,,False,u'casual',,True,True,True,,,,,,True,False,,,,,False,False,False,True,2,,,True,,False,False,False,,False,,True,True,False,,,,True,,,False,False,32114,4.2
44,True,,False,False,False,True,,,,,,False,,True,False,,'average',,False,,,True,,,,u'none','no',,,,False,,,False,u'casual',,,False,True,,,,,,True,False,,,,,False,False,False,True,1,,,True,,False,False,False,,False,,,True,False,,,,True,,,False,False,12197,3.2105263158
45,False,,,True,False,,,,,,,False,,,False,,u'average',,False,,,False,,,,,,,,,,,,,'casual',,,,True,,,,,,False,,,,,,,,,,3,,,,,,False,,,,,,True,False,,,,,,,,,116586,3.5555555556
46,True,,,,,True,,,,,,,,,False,,u'average',,,,,True,,,,u'none',u'no',,,,False,,,False,'casual',,,,True,,,,,,,,,,,,False,,False,,1,,,False,,False,,,,False,,,True,False,,,,,,,True,False,20760,4.2222222222
47,True,,,False,,False,,,,,,False,,,,,u'average',,False,,,True,,,,u'full_bar',,,,,False,,,False,u'casual',,,,,,,,,,False,,,,,,False,False,False,,2,,,False,,False,False,,,False,,,True,,,,,True,,,True,False,12089,3.6363636364
48,True,,False,False,True,False,,,,,,False,,False,False,,u'average',,False,,,True,,,,u'beer_and_wine',u'no',,,,False,,,False,u'casual',,,True,True,,,,,,True,False,,,,,False,False,False,True,2,,,True,,False,False,False,,False,,,True,True,,,,True,,,False,False,168102,3.6717171717
49,True,,,False,False,False,,,,,False,True,,,False,,u'quiet',,False,,,True,,,,u'full_bar',u'no',,,,True,,,False,'casual',,True,,False,,,,,,False,,,,,,False,False,False,,3,,,False,,False,False,,,False,,False,False,True,,,,,,,False,False,51869,3.08
50,False,,False,True,True,True,,,,,,False,,False,False,,u'average',,False,,,True,,,,u'full_bar',,,,,False,,,False,u'casual',,,True,True,,,,,,False,False,,,,,False,False,False,False,2,,,True,,False,False,False,,False,,,True,True,,,,,,,False,False,181670,3.0681818182
51,True,,,False,True,False,,,,,,False,,,True,,u'average',,False,,,True,,,,u'full_bar',u'no',,,,False,,,False,u'casual',,,,,,,,,,True,,,,,,False,False,False,,2,,,False,,True,False,,,False,,,True,True,,,,True,,,True,True,139368,3.6666666667000003
52,True,,False,True,False,False,,,,,,True,,False,True,,u'average',,False,,,True,,,,u'beer_and_wine',u'free',,,,False,,,False,u'casual',,False,True,True,,,False,,,False,False,,,,,False,False,False,True,1,,,True,,False,False,True,,False,,True,True,False,,,,True,,,True,False,80030,3.8378378378
53,True,,,False,False,True,,,,,,False,,,True,,u'average',,False,,,True,,,,u'none',u'free',,,,False,,,False,u'casual',,,,,,,,,,True,,,,,,False,False,False,,2,,,True,,False,False,,,False,,,True,True,,,,,,,True,False,7082,4.0666666667
54,True,False,False,True,False,True,,False,False,,,False,,False,False,,u'average',True,False,,,True,,,,u'full_bar',u'free',False,False,,False,False,,False,'casual',,,True,True,False,,,,,False,True,False,,,,True,False,False,True,3,,,False,,False,False,False,,False,,,True,True,,,,,,,True,False,177646,3.9597315436000002
55,False,,False,True,False,False,,,,,,False,,False,False,,u'average',,False,,,True,,,,u'full_bar',u'no',,,,False,,,False,u'casual',,True,True,True,,,,,,False,False,,,,,False,False,False,False,3,,,False,,False,False,False,,False,,,False,True,,,,,,,False,False,721,3.4039735099
56,False,False,False,True,False,True,,False,False,,,False,,False,False,,u'average',False,False,,u'no',False,,,,u'full_bar','no',False,True,,False,False,,False,u'casual',,True,True,True,False,,,,False,False,False,False,,,,False,,False,False,3,,,False,,False,False,False,,False,,,False,False,,,,,,,False,False,182371,4.3119266055
57,True,,False,False,True,False,,,,,,False,,False,False,,'average',,False,,,True,,,,,'no',,,,False,,,False,'casual',,True,False,True,,,,,,False,False,,,,,False,,False,True,1,,,False,,False,False,False,,False,,,True,False,,,,,,,True,False,91598,4.0740740741
58,True,,False,False,True,False,,,,,,False,,False,False,,u'average',,False,,,True,,,,u'full_bar',u'no',,,,False,,,False,u'dressy',,,False,True,,,,,,False,False,,,,,False,,False,False,2,,,False,,False,False,False,,False,,,True,True,,,,,,,,False,5843,4.8333333333
59,True,,False,False,True,True,,,,,False,False,,False,False,,'quiet',,False,,,True,,,,u'none',u'free',,,,False,,,False,'casual',,False,False,False,,,False,,,True,False,,,,,False,False,False,True,2,,,True,,True,False,False,,False,,True,True,False,,,,True,,,True,False,170505,4.4137931034
60,False,,False,True,True,True,,,,,,False,,False,False,,u'average',,False,,,True,,,,'full_bar',u'no',,,,False,,,False,'casual',,,True,True,,,,,,False,False,,,,,False,False,False,False,3,,,False,,True,False,False,,False,,,True,True,,,,True,,,False,False,127140,3.9289099526
61,,,False,False,,,,,,,,False,,False,False,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,,False,False,,,,,,,,False,,,,,,,False,False,,,,,,,,,,,,,,,88325,3.7692307692
62,True,,,,,,,,,,,,,,False,,u'average',,,,,True,,,,,,,,,,,,,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,126044,4.2857142857
63,True,,False,True,True,True,,,,,,False,,False,False,,u'average',,False,,,True,,,,u'beer_and_wine',u'free',,,,False,,,False,'casual',,True,False,True,,,,,,False,False,,,,,False,False,False,True,2,,,True,,False,False,False,,False,,True,True,True,,,,,,,True,False,155296,2.2592592593
64,True,,,False,False,False,,,,,,False,,,True,,u'average',,False,,,True,,,,u'full_bar',u'no',,,,False,,,False,u'casual',,,,False,,,,,,True,,,,,,False,False,False,,2,,,True,,False,False,,,False,,,True,True,,,,,,,False,False,116953,3.0
65,True,,,,False,True,,,,,,,,,False,,u'average',,,,,True,,,,,'free',,,,,,,,u'dressy',,,,True,,,,,,,,,,,,,,,,2,,,,,,,,,,,,False,True,,,,,,,,,70359,3.9090909091
66,True,,False,False,True,True,,,,,,False,,True,False,,u'average',,False,,,True,,,,u'beer_and_wine',u'free',,,,False,,,False,u'casual',,,True,True,,False,False,,,True,False,,,,,False,False,False,True,2,,,True,,False,False,False,,False,,,True,False,,,,True,,,True,False,117426,4.225025227
67,True,,False,False,True,False,False,False,,,,False,,False,False,,u'average',False,False,,,True,,,False,u'full_bar','free',,,False,False,,,False,u'casual',,,True,True,,,,False,False,False,False,,,,,False,False,False,True,2,True,,True,,False,False,False,,False,,,True,True,False,,,,,False,True,False,191965,2.7011494253
68,,,False,False,,,,,,,,False,,False,False,,,,False,,,,,,,'beer_and_wine',u'paid',,,,False,,,False,,,,False,,,,,,,False,False,,,,,False,,False,False,,,,False,,False,False,False,,False,,,True,True,,,,,,,,False,61119,4.3333333333
69,True,,,False,False,True,,,,,,False,,,False,,u'quiet',,False,,,True,,,,u'none',,,,,False,,,False,u'casual',,,,,,,,,,True,,,,,,False,False,False,,1,,,False,,False,False,,,False,,,True,False,,,,True,,,True,False,150498,3.8
70,True,,False,False,,False,,,,,,False,,False,True,,u'average',,False,,,True,,,,u'none',,,,,False,,,False,u'casual',,False,False,True,,,,,,False,False,,,,,False,,False,False,1,,,False,,False,False,False,,False,,,True,False,,,,,,,False,False,123650,4.25
71,True,,False,False,True,False,,,,,,False,,False,False,,u'quiet',,False,,,True,,,,'none',u'no',,,,False,,,False,u'casual',,True,True,False,,,,,,False,False,,,,,False,False,False,True,1,,,True,,False,False,False,,False,u'no',True,True,True,,,,True,,,True,False,153036,4.2644067797
72,True,,False,False,False,True,,,,,False,False,,True,True,,u'average',,False,,,True,,,,u'none','free',,,,False,,,False,u'casual',,False,True,True,,True,False,,,True,False,,,,,False,False,False,True,1,,,True,,False,False,False,,False,,True,True,False,,,,True,,,True,False,123841,4.145631068
73,False,,,True,True,True,,,,,,True,,,False,,u'loud',,False,,,True,,,,u'full_bar',u'free',,,,False,,,False,u'casual',,,,,,,,,,False,,,,,,False,False,False,,2,,,True,,False,False,,,False,,,True,True,,,,True,,,False,False,44082,2.3333333333
74,True,,True,False,True,True,,,,,True,False,,False,False,,u'average',,False,,,True,,,,u'full_bar',u'free',,,,False,,,False,u'casual',,True,False,True,,,,,,True,False,,,,,False,False,False,False,2,,,True,,True,False,False,,False,,True,True,True,,,,True,,,False,False,173372,4.1951219512
75,False,,,True,,False,,,,,,False,,,False,,,,False,,,False,,,,'full_bar',,,,,,,,,'casual',,,,,,,,,,False,,,,,,,,,,4,,,,,,False,,,,'no',,False,True,,,,True,,,,,55219,4.375
76,False,,,True,False,True,,,,,,False,,,False,,u'average',,False,,,True,,,,u'full_bar','no',,,,False,,,False,u'casual',,,,True,,,,,,False,,,,,,False,False,False,,2,,,False,,True,False,,,False,,,True,True,,,,,,,True,False,90260,3.0675675676
77,True,,False,False,True,False,,,,,,False,,False,False,,'average',,False,,,True,,,,u'full_bar',u'free',,,,False,,,False,'casual',,True,True,True,,,,,,True,False,,,,,False,False,False,True,2,,,True,,False,False,False,,False,,,True,True,,,,True,,,False,False,46488,4.2592592593
78,False,,,True,True,True,,,,,,False,,,False,,u'loud',,False,,,True,,,,u'full_bar','free',,,,False,,,False,'casual',,,,True,,,,,,False,,,,,,False,False,False,,2,,,True,,False,False,,,False,,,False,False,,,,True,,,False,False,45306,3.247706422
79,False,,,False,,False,,,,,,False,,,False,,,,False,,,True,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,,,,,,False,,,,True,,,,,163293,2.0
80,True,,True,False,True,True,False,False,,,,False,,False,False,,u'average',True,False,,,True,,,False,u'full_bar',u'free',,,True,False,,,False,u'casual',,,True,True,,,,False,,True,False,,,,,False,False,False,True,2,False,,False,,True,False,False,,False,,,True,True,True,,,,,True,False,False,28928,2.7307692308
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32156,4.0196078431
82,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10584,3.5714285714000003
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68596,3.8461538462
84,True,,False,False,,,,,,,,False,,False,True,,,,False,,,True,,,,'none',,,,,False,,,False,,,,False,,,,,,,False,False,,,,,False,,False,False,2,,,False,,False,False,False,,False,,,True,False,,,,,,,,False,150156,3.1025641026
85,True,,,False,True,False,,,,,,True,,,True,,u'average',,False,,,True,,,,'none','no',,,,False,,,False,u'casual',,,,False,,,,,,False,,,,,,False,False,False,,1,,,True,,False,False,,,False,,,True,False,,,,True,,,True,False,75179,4.0833333333
86,True,,,True,True,False,,,,,,False,,,False,,u'average',,False,,,True,,,,u'full_bar',u'no',,,,False,,,False,u'casual',,,,,,,,,,False,,,,,,False,,False,,2,,,True,,False,False,,,False,,,True,True,,,,,,,True,False,27889,3.4545454545
87,True,,False,False,False,False,,,,,False,False,,False,False,,'average',,False,,,True,,,,u'full_bar',u'no',,,,False,,,False,u'casual',,True,True,True,,,,,,True,False,,,,,False,False,False,False,2,,,True,,False,False,False,,False,,False,True,True,,,,,,,True,False,14848,3.4358974359
88,True,,False,True,False,False,,,,,,False,,False,True,,u'average',,False,,,True,,,,u'full_bar',u'no',,,,False,,,False,u'casual',,,True,True,,,,,,False,False,,,,,False,False,False,True,2,,,True,,False,False,False,,False,,,True,True,,,,,,,False,False,123247,3.0
89,True,,,False,True,True,,,,,,False,,,False,,'quiet',,False,,,True,,,,'full_bar',u'free',,,,False,,,False,'casual',,True,,True,,,,,,False,,,,,,False,False,False,,2,,,False,,False,False,,,False,,,True,True,,,,True,,,True,False,80157,3.2045454545
90,False,,,True,False,True,,,,,,False,,,False,,u'average',,False,,,True,,,,u'full_bar',,,,,False,,,,u'casual',,,,,,,,,,False,,,,,,False,,False,,3,,,False,,False,False,,,False,,,False,True,,,,,,,True,False,42290,2.6818181817999998
91,True,,False,True,False,True,,,,,False,False,,False,False,,'average',,False,,,True,,,,u'beer_and_wine',u'free',,,,False,,,False,'casual',,False,True,False,,,False,,,False,False,,,,,False,False,False,True,1,,,True,,False,False,False,,False,,True,True,False,,,,True,,,True,False,11569,4.4195402299
92,True,,False,False,False,False,,,,,,False,,False,True,,u'average',,False,,,False,,,,'none',u'no',,,,False,,,False,u'casual',,,False,True,,,,,,False,False,,,,,False,False,False,False,2,,,False,,False,False,False,,False,,,True,False,,,,,,,True,False,184950,4.3571428571
93,True,,,False,True,True,,,,,,False,,,True,,u'average',,False,,,True,,,,u'beer_and_wine',u'no',,,,False,,,False,u'casual',,,,True,,,,,,False,,,,,,False,False,False,,2,,,True,,False,False,,,False,,,True,True,,,,True,,,True,False,169680,3.734939759
94,True,,,True,True,False,,,,,,False,,,,,u'average',,False,,,True,,,,u'none',u'no',,,,False,,,False,u'casual',,,,,,,,,,False,,,,,,False,,False,,1,,,False,,False,False,,,False,,True,True,False,,,,,,,,False,140704,3.4166666667
95,False,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'casual',,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,True,True,,,,,,,,,188650,4.6666666667
96,False,,,,,,,,,,,,,,False,,,,,,,True,,,,,,,,,,,,,'casual',,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,False,True,,,,,,,,,62449,3.8888888889
97,True,,False,False,False,False,,,,,,False,,False,False,,u'quiet',,True,,,True,,,,u'full_bar','free',,,,False,,,False,u'dressy',,,True,False,,,,,,False,False,,,,,False,,False,False,3,,,False,,False,False,False,,False,,,False,True,,,,,,,,True,107407,3.6
98,True,,False,False,False,False,,,,,False,False,,False,False,,u'quiet',,False,,,True,,,,'none',u'free',,,,False,,,False,'casual',,True,False,True,,,,,,True,False,,,,,False,False,False,True,2,,,True,,False,False,False,,False,,True,True,True,,,,True,,,,False,191744,4.962962963
99,True,,False,True,False,False,,,,,,False,,True,False,,u'average',,False,,,False,,,,u'none',u'no',,,,False,,,False,u'casual',,True,False,True,,False,,,,False,True,,,,,False,,False,True,1,,,True,,False,False,False,,False,,,True,False,,,,,,,False,False,122205,3.9696969697
100,True,,False,True,True,True,,,,,,False,,True,True,,u'quiet',,False,,,True,,,,u'none',u'no',,,,False,,,False,u'casual',,,False,True,,,,,,True,False,,,,,False,False,False,True,1,,,True,,False,False,False,,False,,,True,False,,,,True,,,True,False,17716,3.575
101,True,,False,False,True,False,,,,,False,False,,False,False,,u'average',,False,,,True,,,,u'none',u'free',,,,False,,,False,'casual',,True,True,True,,,,,,True,False,,,,,False,False,False,True,2,,,True,,False,False,False,,False,,True,True,True,,,,,,,True,False,125425,4.2242990654
102,True,,False,True,False,False,,,,,,False,,False,True,,,,False,,,True,,,,'none',u'free',,,,False,,,False,'casual',,,True,True,,,,,,False,False,,,,,False,False,False,True,1,,,True,,False,False,False,,False,,,True,False,,,,True,,,,False,79549,3.746835443
103,False,,False,True,False,True,,,,,False,False,,False,False,,u'average',,False,,,True,,,,u'full_bar',u'free',,,,False,,,True,u'casual',,True,True,True,,,,,,False,False,,,,,False,,False,False,2,,,True,,True,False,False,,False,,False,True,True,,,,,,,False,False,160929,4.1315789474
